fl_id,nd_id,pp,pp_id,pt_id,set_def_add,set_def_cain,set_def_chp,set_def_curt,set_def_hyrs,set_def_lin,set_def_peak,set_def_pp,set_def_pr,set_def_rem,set_def_ror,set_def_scen,set_def_sll,set_def_st,set_def_tr,set_def_winsol
12,2,DE_HYD_RES,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,0,AT_HYD_RES,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,1,CH_HYD_RES,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,4,IT_HYD_RES,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,3,FR_HYD_RES,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,2,DE_HYD_ROR,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,0,AT_HYD_ROR,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,4,IT_HYD_ROR,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,1,CH_HYD_ROR,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,3,FR_HYD_ROR,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,0,AT_GAS_LIN,10,12,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
2,1,CH_GAS_LIN,11,12,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
2,2,DE_GAS_LIN,12,12,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
2,3,FR_GAS_LIN,13,12,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
2,4,IT_GAS_LIN,14,12,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
0,0,AT_HCO_LIN,15,10,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
0,2,DE_HCO_LIN,16,10,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
0,3,FR_HCO_LIN,17,10,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
0,4,IT_HCO_LIN,18,10,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
1,2,DE_LIG_LIN,19,11,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
5,2,DE_WIN_ONS,20,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
5,0,AT_WIN_ONS,21,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
5,4,IT_WIN_ONS,22,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
5,1,CH_WIN_ONS,23,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
5,3,FR_WIN_ONS,24,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
4,3,FR_WIN_OFF,25,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
4,2,DE_WIN_OFF,26,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
8,2,DE_SOL_PHO,27,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
