pp_id,ca_id,hy,value
2,0,0,3.18962043e-05
0,0,0,3.18962043e-05
3,0,0,8.0050492e-05
1,0,0,8.36439426e-05
2,0,1,3.18962043e-05
0,0,1,3.18962043e-05
3,0,1,8.0050492e-05
1,0,1,8.36439426e-05
2,0,2,3.18962043e-05
0,0,2,3.18962043e-05
3,0,2,8.0050492e-05
1,0,2,8.36439426e-05
2,0,3,3.18962043e-05
0,0,3,3.18962043e-05
3,0,3,8.0050492e-05
1,0,3,8.36439426e-05
2,0,4,3.18962043e-05
0,0,4,3.18962043e-05
3,0,4,8.0050492e-05
1,0,4,8.36439426e-05
2,0,5,3.18962043e-05
0,0,5,3.18962043e-05
3,0,5,8.0050492e-05
1,0,5,8.36439426e-05
2,0,6,3.18962043e-05
0,0,6,3.18962043e-05
3,0,6,8.0050492e-05
1,0,6,8.36439426e-05
2,0,7,3.18962043e-05
0,0,7,3.18962043e-05
3,0,7,8.0050492e-05
1,0,7,8.36439426e-05
2,0,8,3.18962043e-05
0,0,8,3.18962043e-05
3,0,8,8.0050492e-05
1,0,8,8.36439426e-05
2,0,9,3.18962043e-05
0,0,9,3.18962043e-05
3,0,9,8.0050492e-05
1,0,9,8.36439426e-05
2,0,10,3.18962043e-05
0,0,10,3.18962043e-05
3,0,10,8.0050492e-05
1,0,10,8.36439426e-05
2,0,11,3.18962043e-05
0,0,11,3.18962043e-05
3,0,11,8.0050492e-05
1,0,11,8.36439426e-05
2,0,12,3.18962043e-05
0,0,12,3.18962043e-05
3,0,12,8.0050492e-05
1,0,12,8.36439426e-05
2,0,13,3.18962043e-05
0,0,13,3.18962043e-05
3,0,13,8.0050492e-05
1,0,13,8.36439426e-05
2,0,14,3.18962043e-05
0,0,14,3.18962043e-05
3,0,14,8.0050492e-05
1,0,14,8.36439426e-05
2,0,15,3.18962043e-05
0,0,15,3.18962043e-05
3,0,15,8.0050492e-05
1,0,15,8.36439426e-05
2,0,16,3.18962043e-05
0,0,16,3.18962043e-05
3,0,16,8.0050492e-05
1,0,16,8.36439426e-05
2,0,17,3.18962043e-05
0,0,17,3.18962043e-05
3,0,17,8.0050492e-05
1,0,17,8.36439426e-05
2,0,18,3.18962043e-05
0,0,18,3.18962043e-05
3,0,18,8.0050492e-05
1,0,18,8.36439426e-05
2,0,19,3.18962043e-05
0,0,19,3.18962043e-05
3,0,19,8.0050492e-05
1,0,19,8.36439426e-05
2,0,20,3.18962043e-05
0,0,20,3.18962043e-05
3,0,20,8.0050492e-05
1,0,20,8.36439426e-05
2,0,21,3.18962043e-05
0,0,21,3.18962043e-05
3,0,21,8.0050492e-05
1,0,21,8.36439426e-05
2,0,22,3.18962043e-05
0,0,22,3.18962043e-05
3,0,22,8.0050492e-05
1,0,22,8.36439426e-05
2,0,23,3.18962043e-05
0,0,23,3.18962043e-05
3,0,23,8.0050492e-05
1,0,23,8.36439426e-05
2,0,24,3.18962043e-05
0,0,24,3.18962043e-05
3,0,24,8.0050492e-05
1,0,24,8.36439426e-05
2,0,25,3.18962043e-05
0,0,25,3.18962043e-05
3,0,25,8.0050492e-05
1,0,25,8.36439426e-05
2,0,26,3.18962043e-05
0,0,26,3.18962043e-05
3,0,26,8.0050492e-05
1,0,26,8.36439426e-05
2,0,27,3.18962043e-05
0,0,27,3.18962043e-05
3,0,27,8.0050492e-05
1,0,27,8.36439426e-05
2,0,28,3.18962043e-05
0,0,28,3.18962043e-05
3,0,28,8.0050492e-05
1,0,28,8.36439426e-05
2,0,29,3.18962043e-05
0,0,29,3.18962043e-05
3,0,29,8.0050492e-05
1,0,29,8.36439426e-05
