hy,nd_id,fl_id,value
0,1,17,43.43
0,2,17,18.29
0,3,17,51.93
1,1,17,38.08
1,2,17,16.04
1,3,17,48.76
2,1,17,35.47
2,2,17,14.6
2,3,17,42.27
3,1,17,30.83
3,2,17,14.95
3,3,17,38.41
4,1,17,28.26
4,2,17,14.5
4,3,17,35.72
5,1,17,25.36
5,2,17,10.76
5,3,17,32.66
6,1,17,26.93
6,2,17,12.01
6,3,17,32.83
7,1,17,24.95
7,2,17,12.39
7,3,17,30.06
8,1,17,26.71
8,2,17,14.04
8,3,17,29.24
9,1,17,30.04
9,2,17,14.68
9,3,17,37.54
10,1,17,31.77
10,2,17,16.08
10,3,17,41.19
11,1,17,35.09
11,2,17,16.08
11,3,17,44.69
12,1,17,35.39
12,2,17,16.05
12,3,17,39.77
13,1,17,31.47
13,2,17,16.04
13,3,17,33.29
14,1,17,29.08
14,2,17,16.1
14,3,17,32.47
15,1,17,31.03
15,2,17,23.93
15,3,17,34.73
16,1,17,39.09
16,2,17,26.9
16,3,17,40.95
17,1,17,47.82
17,2,17,26.36
17,3,17,51.25
18,1,17,50.75
18,2,17,23.98
18,3,17,52.55
19,1,17,49.3
19,2,17,16.09
19,3,17,49.55
20,1,17,48.24
20,2,17,14.08
20,3,17,46.31
21,1,17,49.04
21,2,17,12.44
21,3,17,48.75
22,1,17,46.14
22,2,17,0.04
22,3,17,47.59
23,1,17,42.29
23,2,17,-12.11
23,3,17,38.8
24,1,17,38.1
24,2,17,-19.63
24,3,17,36.73
25,1,17,38.03
25,2,17,-19.37
25,3,17,33.52
26,1,17,32.06
26,2,17,-31.41
26,3,17,27.5
27,1,17,27.66
27,2,17,-46.97
27,3,17,22.84
28,1,17,28.0
28,2,17,-13.48
28,3,17,26.1
29,1,17,33.44
29,2,17,0.08
29,3,17,27.17
30,1,17,37.1
30,2,17,10.06
30,3,17,33.33
31,1,17,39.34
31,2,17,14.25
31,3,17,42.06
32,1,17,41.82
32,2,17,14.56
32,3,17,46.13
33,1,17,42.19
33,2,17,14.64
33,3,17,44.05
34,1,17,43.0
34,2,17,15.08
34,3,17,45.3
35,1,17,44.02
35,2,17,15.41
35,3,17,48.64
36,1,17,42.48
36,2,17,14.52
36,3,17,44.87
37,1,17,39.12
37,2,17,14.7
37,3,17,41.0
38,1,17,38.05
38,2,17,14.66
38,3,17,39.78
39,1,17,39.49
39,2,17,16.09
39,3,17,39.73
40,1,17,47.91
40,2,17,25.1
40,3,17,50.24
41,1,17,52.88
41,2,17,25.06
41,3,17,54.1
42,1,17,52.96
42,2,17,19.08
42,3,17,53.13
43,1,17,49.91
43,2,17,14.26
43,3,17,48.81
44,1,17,48.93
44,2,17,12.22
44,3,17,42.99
45,1,17,50.0
45,2,17,10.4
45,3,17,48.76
46,1,17,49.86
46,2,17,-0.33
46,3,17,48.45
47,1,17,39.48
47,2,17,-0.08
47,3,17,46.97
48,1,17,37.01
48,2,17,-0.07
48,3,17,43.27
49,1,17,35.61
49,2,17,-5.03
49,3,17,41.76
50,1,17,29.28
50,2,17,0.01
50,3,17,37.54
51,1,17,26.24
51,2,17,-0.04
51,3,17,32.99
52,1,17,25.82
52,2,17,0.03
52,3,17,31.24
53,1,17,26.75
53,2,17,-8.67
53,3,17,36.71
54,1,17,30.84
54,2,17,4.46
54,3,17,39.47
55,1,17,35.78
55,2,17,9.9
55,3,17,44.51
56,1,17,37.2
56,2,17,14.29
56,3,17,44.45
57,1,17,36.44
57,2,17,16.73
57,3,17,45.01
58,1,17,36.74
58,2,17,22.31
58,3,17,45.36
59,1,17,37.07
59,2,17,23.03
59,3,17,45.6
60,1,17,37.0
60,2,17,22.4
60,3,17,43.4
61,1,17,33.76
61,2,17,27.07
61,3,17,39.6
62,1,17,31.07
62,2,17,29.33
62,3,17,35.48
63,1,17,31.48
63,2,17,33.85
63,3,17,33.85
64,1,17,40.09
64,2,17,45.96
64,3,17,45.96
65,1,17,46.36
65,2,17,49.82
65,3,17,49.82
66,1,17,48.95
66,2,17,47.62
66,3,17,47.62
67,1,17,48.04
67,2,17,35.98
67,3,17,43.79
68,1,17,46.0
68,2,17,27.26
68,3,17,42.44
69,1,17,43.66
69,2,17,27.7
69,3,17,42.03
70,1,17,37.48
70,2,17,14.27
70,3,17,40.91
71,1,17,36.41
71,2,17,9.32
71,3,17,36.26
72,1,17,31.46
72,2,17,0.02
72,3,17,32.28
73,1,17,24.97
73,2,17,-0.04
73,3,17,27.63
74,1,17,14.42
74,2,17,0.01
74,3,17,23.94
75,1,17,11.03
75,2,17,0.0
75,3,17,15.69
76,1,17,13.77
76,2,17,-0.01
76,3,17,18.14
77,1,17,16.44
77,2,17,-3.18
77,3,17,20.03
78,1,17,17.79
78,2,17,-0.05
78,3,17,19.23
79,1,17,18.86
79,2,17,0.05
79,3,17,27.31
80,1,17,28.83
80,2,17,9.62
80,3,17,34.54
81,1,17,33.02
81,2,17,11.54
81,3,17,36.7
82,1,17,35.64
82,2,17,14.68
82,3,17,37.14
83,1,17,37.3
83,2,17,14.31
83,3,17,42.55
84,1,17,35.41
84,2,17,11.18
84,3,17,38.34
85,1,17,30.34
85,2,17,12.01
85,3,17,32.68
86,1,17,26.52
86,2,17,14.36
86,3,17,25.25
87,1,17,26.51
87,2,17,17.55
87,3,17,30.43
88,1,17,42.98
88,2,17,28.94
88,3,17,43.04
89,1,17,49.85
89,2,17,29.59
89,3,17,54.35
90,1,17,48.61
90,2,17,29.42
90,3,17,51.57
91,1,17,48.14
91,2,17,28.92
91,3,17,49.99
92,1,17,43.99
92,2,17,28.66
92,3,17,41.18
93,1,17,46.03
93,2,17,29.74
93,3,17,44.79
94,1,17,43.04
94,2,17,24.9
94,3,17,42.96
95,1,17,37.8
95,2,17,22.34
95,3,17,36.56
96,1,17,34.09
96,2,17,17.93
96,3,17,34.94
97,1,17,31.89
97,2,17,15.17
97,3,17,32.19
98,1,17,28.5
98,2,17,16.38
98,3,17,23.53
