nd_id,ca_id,swhy_vl,hy,price_eur_mwh,volume_mwh
1,0,yr2015,0,43.43,1997.9
1,0,yr2015,1,38.08,1921.3
1,0,yr2015,2,35.47,2084.8
1,0,yr2015,3,30.83,2113.0
1,0,yr2015,4,28.26,1994.7
1,0,yr2015,5,25.36,2094.0
1,0,yr2015,6,26.93,2324.7
1,0,yr2015,7,24.95,2945.7
1,0,yr2015,8,26.71,2677.3
1,0,yr2015,9,30.04,2733.4
1,0,yr2015,10,31.77,2611.1
1,0,yr2015,11,35.09,2436.6
1,0,yr2015,12,35.39,2523.6
1,0,yr2015,13,31.47,2570.5
1,0,yr2015,14,29.08,2621.0
1,0,yr2015,15,31.03,2489.4
1,0,yr2015,16,39.09,1886.7
1,0,yr2015,17,47.82,2016.1
1,0,yr2015,18,50.75,2193.3
1,0,yr2015,19,49.3,2618.4
1,0,yr2015,20,48.24,2672.6
1,0,yr2015,21,49.04,2707.1
1,0,yr2015,22,46.14,2394.7
1,0,yr2015,23,42.29,1401.2
1,0,yr2015,24,38.1,1406.5
1,0,yr2015,25,38.03,1597.3
1,0,yr2015,26,32.06,1806.6
1,0,yr2015,27,27.66,1756.3
1,0,yr2015,28,28.0,1829.1
1,0,yr2015,29,33.44,1794.3
1,0,yr2015,30,37.1,1777.5
1,0,yr2015,31,39.34,2169.0
1,0,yr2015,32,41.82,2051.8
1,0,yr2015,33,42.19,1924.1
1,0,yr2015,34,43.0,1850.5
1,0,yr2015,35,44.02,1800.9
1,0,yr2015,36,42.48,2018.4
1,0,yr2015,37,39.12,2101.2
1,0,yr2015,38,38.05,2229.7
1,0,yr2015,39,39.49,2242.6
1,0,yr2015,40,47.91,1911.6
1,0,yr2015,41,52.88,2723.0
1,0,yr2015,42,52.96,2663.4
1,0,yr2015,43,49.91,1933.3
1,0,yr2015,44,48.93,1966.1
1,0,yr2015,45,50.0,1879.6
1,0,yr2015,46,49.86,1750.6
1,0,yr2015,47,39.48,1596.6
1,0,yr2015,48,37.01,1657.6
1,0,yr2015,49,35.61,1617.6
1,0,yr2015,50,29.28,1597.6
1,0,yr2015,51,26.24,1652.8
1,0,yr2015,52,25.82,1741.9
1,0,yr2015,53,26.75,1755.2
1,0,yr2015,54,30.84,1748.1
1,0,yr2015,55,35.78,1686.9
1,0,yr2015,56,37.2,1711.3
1,0,yr2015,57,36.44,1953.8
1,0,yr2015,58,36.74,1932.2
1,0,yr2015,59,37.07,1786.4
1,0,yr2015,60,37.0,1783.6
1,0,yr2015,61,33.76,1939.6
1,0,yr2015,62,31.07,1819.8
1,0,yr2015,63,31.48,1531.0
1,0,yr2015,64,40.09,1647.7
1,0,yr2015,65,46.36,2191.0
1,0,yr2015,66,48.95,2465.0
1,0,yr2015,67,48.04,2104.5
1,0,yr2015,68,46.0,2417.8
1,0,yr2015,69,43.66,1907.0
1,0,yr2015,70,37.48,1947.8
1,0,yr2015,71,36.41,1761.9
1,0,yr2015,72,31.46,1808.1
1,0,yr2015,73,24.97,1734.2
1,0,yr2015,74,14.42,1793.5
1,0,yr2015,75,11.03,1795.6
1,0,yr2015,76,13.77,2010.0
1,0,yr2015,77,16.44,1782.6
1,0,yr2015,78,17.79,1701.5
1,0,yr2015,79,18.86,1589.9
1,0,yr2015,80,28.83,1647.8
1,0,yr2015,81,33.02,1697.5
1,0,yr2015,82,35.64,1667.1
1,0,yr2015,83,37.3,1503.5
1,0,yr2015,84,35.41,1608.3
1,0,yr2015,85,30.34,1766.0
1,0,yr2015,86,26.52,1791.1
1,0,yr2015,87,26.51,1837.9
1,0,yr2015,88,42.98,1842.1
1,0,yr2015,89,49.85,2625.3
1,0,yr2015,90,48.61,2500.4
1,0,yr2015,91,48.14,2528.4
1,0,yr2015,92,43.99,2270.2
1,0,yr2015,93,46.03,1991.7
1,0,yr2015,94,43.04,1643.1
1,0,yr2015,95,37.8,1566.7
1,0,yr2015,96,34.09,1474.2
1,0,yr2015,97,31.89,1478.5
1,0,yr2015,98,28.5,1174.1
1,0,yr2015,99,27.23,1182.9
1,0,yr2015,100,32.26,1282.4
1,0,yr2015,101,43.72,1785.3
1,0,yr2015,102,49.94,1884.6
1,0,yr2015,103,51.98,1783.8
1,0,yr2015,104,53.0,1790.0
1,0,yr2015,105,52.71,1922.6
1,0,yr2015,106,52.35,1867.2
1,0,yr2015,107,52.02,2011.8
1,0,yr2015,108,50.4,1620.8
1,0,yr2015,109,50.55,1304.7
1,0,yr2015,110,49.46,1144.8
1,0,yr2015,111,50.79,1481.8
1,0,yr2015,112,58.08,2424.9
